BasicCity:Utrecht,307840,0.00,0.00
BasicCity:Amersfoort,141795,18097.32,7104.12
BasicCity:Veenendaal,67381,29269.50,-7567.43
BasicCity:Nieuwegein,64053,-2850.58,-6949.68
BasicCity:Zeist,53880,7591.14,-154.44
BasicCity:Houten,46675,3135.73,-7104.12
BasicCity:Soest,39595,11554.86,9111.81
BasicCity:Maarssen,38915,-5497.58,5250.87
BasicCity:Woerden,37930,-16322.98,-772.19
BasicCity:IJsselstein,33684,-5417.27,-8030.74
BasicCity:Leusden,27483,21139.87,4633.12
BasicCity:Baarn,24580,11261.22,13281.62
BasicCity:Bilthoven,22700,5403.97,4169.81
BasicRoad:Utrecht_Bilthoven,Utrecht,Bilthoven,25,3
BasicRoad:Utrecht_Bilthoven_reverse,Bilthoven,Utrecht,25,3
BasicRoad:Utrecht_Nieuwegein,Utrecht,Nieuwegein,25,3
BasicRoad:Utrecht_Nieuwegein_reverse,Nieuwegein,Utrecht,25,3
BasicRoad:Utrecht_Zeist,Utrecht,Zeist,25,3
BasicRoad:Utrecht_Zeist_reverse,Zeist,Utrecht,25,3
BasicRoad:Amersfoort_Leusden,Amersfoort,Leusden,25,3
BasicRoad:Amersfoort_Leusden_reverse,Leusden,Amersfoort,25,3
BasicRoad:Amersfoort_Soest,Amersfoort,Soest,25,3
BasicRoad:Amersfoort_Soest_reverse,Soest,Amersfoort,25,3
BasicRoad:Amersfoort_Baarn,Amersfoort,Baarn,25,3
BasicRoad:Amersfoort_Baarn_reverse,Baarn,Amersfoort,25,3
BasicRoad:Veenendaal_Leusden,Veenendaal,Leusden,25,3
BasicRoad:Veenendaal_Leusden_reverse,Leusden,Veenendaal,25,3
BasicRoad:Veenendaal_Amersfoort,Veenendaal,Amersfoort,25,3
BasicRoad:Veenendaal_Amersfoort_reverse,Amersfoort,Veenendaal,25,3
BasicRoad:Veenendaal_Zeist,Veenendaal,Zeist,25,3
BasicRoad:Veenendaal_Zeist_reverse,Zeist,Veenendaal,25,3
BasicRoad:Nieuwegein_IJsselstein,Nieuwegein,IJsselstein,25,3
BasicRoad:Nieuwegein_IJsselstein_reverse,IJsselstein,Nieuwegein,25,3
BasicRoad:Nieuwegein_Houten,Nieuwegein,Houten,25,3
BasicRoad:Nieuwegein_Houten_reverse,Houten,Nieuwegein,25,3
BasicRoad:Zeist_Bilthoven,Zeist,Bilthoven,25,3
BasicRoad:Zeist_Bilthoven_reverse,Bilthoven,Zeist,25,3
BasicRoad:Zeist_Houten,Zeist,Houten,25,3
BasicRoad:Zeist_Houten_reverse,Houten,Zeist,25,3
BasicRoad:Houten_Utrecht,Houten,Utrecht,25,3
BasicRoad:Houten_Utrecht_reverse,Utrecht,Houten,25,3
BasicRoad:Soest_Baarn,Soest,Baarn,25,3
BasicRoad:Soest_Baarn_reverse,Baarn,Soest,25,3
BasicRoad:Soest_Bilthoven,Soest,Bilthoven,25,3
BasicRoad:Soest_Bilthoven_reverse,Bilthoven,Soest,25,3
BasicRoad:Maarssen_Utrecht,Maarssen,Utrecht,25,3
BasicRoad:Maarssen_Utrecht_reverse,Utrecht,Maarssen,25,3
BasicRoad:Maarssen_Bilthoven,Maarssen,Bilthoven,25,3
BasicRoad:Maarssen_Bilthoven_reverse,Bilthoven,Maarssen,25,3
BasicRoad:Maarssen_Woerden,Maarssen,Woerden,25,3
BasicRoad:Maarssen_Woerden_reverse,Woerden,Maarssen,25,3
BasicRoad:Woerden_IJsselstein,Woerden,IJsselstein,25,3
BasicRoad:Woerden_IJsselstein_reverse,IJsselstein,Woerden,25,3
BasicRoad:Woerden_Nieuwegein,Woerden,Nieuwegein,25,3
BasicRoad:Woerden_Nieuwegein_reverse,Nieuwegein,Woerden,25,3
BasicRoad:IJsselstein_Houten,IJsselstein,Houten,25,3
BasicRoad:IJsselstein_Houten_reverse,Houten,IJsselstein,25,3
BasicRoad:IJsselstein_Utrecht,IJsselstein,Utrecht,25,3
BasicRoad:IJsselstein_Utrecht_reverse,Utrecht,IJsselstein,25,3
BasicRoad:Leusden_Soest,Leusden,Soest,25,3
BasicRoad:Leusden_Soest_reverse,Soest,Leusden,25,3
BasicRoad:Leusden_Baarn,Leusden,Baarn,25,3
BasicRoad:Leusden_Baarn_reverse,Baarn,Leusden,25,3
BasicRoad:Baarn_Bilthoven,Baarn,Bilthoven,25,3
BasicRoad:Baarn_Bilthoven_reverse,Bilthoven,Baarn,25,3
